id_obra,contratada,data_fim_previsto,data_inicio,descricao,municipio,percentual_executado,status,valor,
6702,HM ENGENHARIA E SERVIÇOS LTDA,"Fri, 28 Nov 2014","Fri, 08 Mar 2013","CONSTRUÇÃO DE ESCOLAS DE ENSINO MÉDIO NAS ÁREAS RURAIS DE (TRAPÍA), NO MUNICÍPIO DE SANTA QUITERIA - CE",SANTA QUITÉRIA,95.11,Cancelada,2112445.65,
6138,CBC,"Sat, 27 Feb 2010","Tue, 01 Sep 2009",RECUPERAÇÃO DA CE-356 TRECHO - RUSSAS - BOMSUCESSO COM EXECUÇAÕ SOB REGIME DE EMPREITADA POR PREÇO UNITARIO,RUSSAS,99.74,Concluída,694042.56,
5861,MIG CONSTRUÇÕES,"Mon, 24 May 2010","Thu, 26 Nov 2009",CONSTRUÇÃO DE 16(DEZESSEIS) ESCOLAS ESTADUAIS DE ENSINO MEDIO REGULAR EM DIVERSOS MUNICIPIO  DO ESTADO DI CEARA INCLUSIVE EM AREAS RURAIS LOE Nº 06 (IRAUÇUBA/MISSI),IRAUÇUBA,100.00,Em Execução,2233192.50,
6026,JGA ENGENHARIA LTDA,"Mon, 14 Sep 2009","Wed, 17 Jun 2009",CONSTRUÇÃO DE 01 AUDITÓRIO PARA 50 PESSOAS PARA O LACEN  DO CRATO,CRATO,23.48,Em Execução,73721.63,
6320,RCL ENGENHARIA LTDA,"Tue, 10 Jul 2012","Sat, 17 Sep 2011",REF. PINTURA DO CENTRO E LAB. DO ENT. DO CARIRI.,JUAZEIRO DO NORTE,36.47,Concluída,47043.54,
6041,STRUCTURA ENGENHARIA.,"Thu, 26 Feb 2009","Wed, 28 Jan 2009",EXEC. DOS SERVIÇOS DE GRADIL NO MURO DO CENTRO DE CEO - JOAQUIM TÁVORA,FORTALEZA,100.00,Concluída,46646.60,
6221,FORTEKS ENGENHARIA,"Mon, 09 Nov 2009","Fri, 11 Sep 2009","CONSTRUÇÃO DA NOVA FACHADA PARA DELEGACIAS DE POLÍCIA CIVIL (PADRÃO II) COM URBANIZAÇÃO, EM IPUEIRAS E PARAMBU",PARAMBU,100.00,Em Execução,374999.96,
5902,MULTSERVICE INCORP,"Sat, 10 Dec 2011","Tue, 08 Dec 2009",CONSTRUÇÃO DA ESCOLA ESTADUAL DE EDUCAÇÃO PROFISSIONALIZANTES COM 12 SALAS PADRÕES,CARIRIAÇU,50.36,Cancelada,5361917.42,
6461,TECNOCON,"Wed, 08 May 2013","Mon, 07 May 2012","OBRAS DE REFORMA E AMPLIAÇÃO DO BLOCO ""S"" DE QUIMICA DA UECE, NO CAMPUS DO ITAPERI, EM FORTALEZA-CE",FORTALEZA,100.00,Concluída,792861.86,
5771,TECNOCON,"Thu, 20 Aug 2009","Thu, 23 Apr 2009","CONSTRUÇÃO DA EDEFM MARCELINO DE MATOS (ESCOLA INDÍGENA C/04 SALAS TIPO ""ESPAÇO EDUCATIVO URBANO II"") EM CAUCAIA",CAUCAIA,100.00,Em Execução,414809.36,
